heart_rate,spo2,desaturation_events,label
124.06889911734478,92.76857859146908,4,tachy_hypoxemia
38.63556349727244,96.58647656820247,0,bradycardia
125.78038650455255,91.49599361079824,2,tachy_hypoxemia
66.8632136272777,86.42216458539085,381,severe_hypoxemia
67.29265679706911,98.15941841356755,0,healthy
40.99568806958085,96.79671187565133,0,bradycardia
58.84834042134352,81.20805665083732,424,severe_hypoxemia
67.98934648441711,98.23730826649681,0,healthy
43.51338841193642,100.07895664736577,0,bradycardia
42.64613752326724,97.37656594504385,0,bradycardia
56.67066177419284,98.07974033757347,0,healthy
60.343778757427636,98.17424077752213,0,healthy
116.59007940828008,92.28650806602609,5,tachy_hypoxemia
40.240409767288256,99.10848665331467,0,bradycardia
75.95977973771511,88.39765134594928,490,severe_hypoxemia
69.96624884807599,97.37373414642494,0,healthy
71.24419111235552,81.95403714053444,297,severe_hypoxemia
70.92742132839511,98.49850548351313,0,healthy
38.52554510319743,97.81412182934298,0,bradycardia
61.1648498139009,83.56880541661216,241,severe_hypoxemia
65.78465931695007,89.90978879592979,109,severe_hypoxemia
64.30725423264352,86.40289996374432,144,severe_hypoxemia
38.99785979762334,98.601209449898,0,bradycardia
72.6112587081355,85.46520878028045,441,severe_hypoxemia
71.66154273588113,99.57895538867926,0,healthy
70.72605864043685,89.9842715541931,414,severe_hypoxemia
75.39665517222038,83.11718029769015,457,severe_hypoxemia
67.92186567734794,86.7970938289838,285,severe_hypoxemia
116.61490545438912,90.6455693286261,4,tachy_hypoxemia
66.81788393453954,86.75534081028329,427,severe_hypoxemia
39.65347666658208,97.38129979079675,0,bradycardia
127.70959071416885,88.69704891515201,1,tachy_hypoxemia
69.38285910127213,97.28523987988801,0,healthy
41.459580488491355,97.9595494513704,0,bradycardia
67.0237945205556,78.21457635785563,128,severe_hypoxemia
77.95607601869085,87.4890714306528,210,severe_hypoxemia
37.03449332427593,97.54995151719494,0,bradycardia
70.6956530821566,85.56738292785565,483,severe_hypoxemia
35.8763048166505,96.96184594186398,0,bradycardia
123.15606434093408,94.03233133957504,5,tachy_hypoxemia
67.91379531249285,83.70715062474068,201,severe_hypoxemia
39.83548283961725,97.19004517909003,0,bradycardia
32.2638964343068,97.07117266675465,0,bradycardia
115.73476158458922,91.37513205302295,5,tachy_hypoxemia
116.78876789860601,92.69537190123995,3,tachy_hypoxemia
43.435764358998306,98.31190156589668,0,bradycardia
68.9120355991589,97.691059679846,0,healthy
41.05765579534742,98.75866130199725,0,bradycardia
40.77313884300481,96.06285837357825,0,bradycardia
126.48769984457438,87.87982800982117,5,tachy_hypoxemia
41.085929334021245,100.22398007826885,0,bradycardia
114.82560176916542,89.60737879582597,2,tachy_hypoxemia
40.507489285936344,97.58365028428248,0,bradycardia
75.53159958266049,84.2714557511133,417,severe_hypoxemia
73.4127873438798,85.83327139891253,308,severe_hypoxemia
38.610754269193855,99.96822892723775,0,bradycardia
118.6111817902509,92.32551934500096,1,tachy_hypoxemia
63.569488374001565,85.83724769110607,473,severe_hypoxemia
72.26325733186343,97.9742379644333,0,healthy
66.86108172049171,89.03291994021782,402,severe_hypoxemia
65.71198864128237,83.846424614459,473,severe_hypoxemia
71.30114180963008,89.9350958040478,129,severe_hypoxemia
125.3936028911059,92.33701555954741,4,tachy_hypoxemia
36.05277905764386,99.22015030037664,0,bradycardia
66.85098998766196,98.72078601267356,0,healthy
72.03706119004345,96.32148901438929,0,healthy
68.97003577696069,90.23653974908062,142,severe_hypoxemia
80.21090191689865,87.08957391191518,446,severe_hypoxemia
66.8478537030848,86.5107647151684,163,severe_hypoxemia
116.18020270166316,91.79936795060716,1,tachy_hypoxemia
112.6004553169447,88.51945811303113,2,tachy_hypoxemia
124.21926827199529,91.26646344835233,5,tachy_hypoxemia
67.43400690497737,82.67985071653463,336,severe_hypoxemia
40.118954160622756,100.6306138540079,0,bradycardia
61.946173874090356,97.55692519952812,0,healthy
43.1763239428822,98.49903928295922,0,bradycardia
120.28378846253824,93.5433843602002,3,tachy_hypoxemia
119.06707028666928,92.9684540593304,4,tachy_hypoxemia
38.387867849163776,97.3591709113692,0,bradycardia
40.56526170788381,98.12861332873382,0,bradycardia
116.78775793027462,92.93819425615663,3,tachy_hypoxemia
66.00295477649875,98.76471800094279,0,healthy
69.52673139687684,86.36942939004992,187,severe_hypoxemia
116.78341808337906,88.86029002982012,5,tachy_hypoxemia
74.85557755934785,98.69527769921368,0,healthy
86.12381231798562,85.77549559669013,393,severe_hypoxemia
64.19519479932643,81.371672239698,276,severe_hypoxemia
72.38510194975325,98.33188527893616,0,healthy
38.60393693476383,98.4325910791583,0,bradycardia
125.65495281128752,88.67681349857297,1,tachy_hypoxemia
38.496562421278405,97.46952017322216,0,bradycardia
113.50868592424337,92.68453250891035,1,tachy_hypoxemia
119.37334269054,89.01035776182513,1,tachy_hypoxemia
124.96141976151537,92.38437814698345,5,tachy_hypoxemia
41.92460699827676,98.40246520223614,0,bradycardia
81.79693726785368,97.91239755871557,0,healthy
74.54421910852479,98.35177669253156,0,healthy
39.769651868260105,98.40326414461575,0,bradycardia
75.78377961599725,97.31667104881848,0,healthy
66.41766772489106,80.2827932985541,386,severe_hypoxemia
35.633962628661536,99.2462033424243,0,bradycardia
66.76667118552393,88.09805645467618,220,severe_hypoxemia
116.67328883962504,92.52267255545597,2,tachy_hypoxemia
39.22233820158582,98.21240943029093,0,bradycardia
68.57502402606653,82.62574969342556,495,severe_hypoxemia
41.782798126042344,98.42538729148018,0,bradycardia
115.51122342770819,91.22682450124465,3,tachy_hypoxemia
37.72575000501854,99.31484043047186,0,bradycardia
115.29252045811559,92.30507039249828,5,tachy_hypoxemia
35.21757219356976,98.81964292129754,0,bradycardia
38.8450385250023,97.79233275731403,0,bradycardia
70.68483042264127,74.60768569939258,443,severe_hypoxemia
43.38512872040703,100.38865638425237,0,bradycardia
126.8976006944257,92.44562745922858,1,tachy_hypoxemia
38.037547983664936,98.56235982423712,0,bradycardia
38.34640256727211,97.37871026995148,0,bradycardia
64.9442186768269,83.60245151560883,188,severe_hypoxemia
115.07671492317552,87.4490402461891,4,tachy_hypoxemia
73.2328209966148,81.95532954023516,494,severe_hypoxemia
68.55868130767698,99.07357766463853,0,healthy
57.084382537696186,97.9911566203282,0,healthy
38.5942788448233,99.25562025538322,0,bradycardia
43.27003194742443,98.09387079362395,0,bradycardia
124.60524618652306,87.82710397722447,2,tachy_hypoxemia
123.41331755085658,94.62868529282392,3,tachy_hypoxemia
63.634071199483124,96.78993903379575,0,healthy
64.5911471258478,98.56363047812361,0,healthy
72.8386654282876,98.21885928151274,0,healthy
115.63482287409931,90.74748338013617,5,tachy_hypoxemia
41.26099796791298,96.153759187604,0,bradycardia
120.1062628337433,94.79337961174494,3,tachy_hypoxemia
69.01588850083245,96.89142718085029,0,healthy
63.89719643009113,98.7229573015038,0,healthy
71.32151261246062,83.0666343292281,277,severe_hypoxemia
114.91323465681953,95.54946338497399,1,tachy_hypoxemia
77.02211933721286,89.15426632827823,179,severe_hypoxemia
69.9875750278604,98.19668642446152,0,healthy
